Year,Chlorophyll_Fall,Temperature_Summer,Temperature_Fall,Secchi_Fall
1975,NA,19.88233333333333,16.80645202020202,29.97537878787879
1976,10.044222222222222,21.823051250689964,19.266666666666666,50.300000000000004
1977,28.355027777777778,22.99383568489124,18.688150953984287,44.677006172839505
1978,23.309984126984126,21.207995598646697,17.592493286669757,22.928915343915346
1979,14.277569444444445,21.819801894130666,19.380555555555556,30.23611111111111
1980,18.036244444444446,20.237485047544187,17.226152475276916,27.331991707253906
1981,6.727083333333334,22.176319622694844,18.139973544973547,42.43640873015873
1982,12.757083333333334,20.191983174603173,16.680208939108397,23.97396730684774
1983,2.4166666666666665,21.052555555555553,19.294027777777774,32.38055555555555
1984,NA,21.96935220908688,18.177814036725803,34.7205747955748
1985,4.327833333333333,21.54396708670469,17.44367412217412,70.21652236652237
1986,NA,19.87683231588233,17.517915343915345,31.216945646945646
1987,3.4001388888888893,21.37590033036691,18.539467592592594,62.1276455026455
1988,NA,21.53070963993404,17.473650608411962,52.469907407407405
1989,NA,20.87423539797006,18.236296496713162,52.87546296296296
1990,2.098333333333333,21.897664777458626,18.196621693121692,62.86677248677249
1991,2.0597916666666665,20.914140953198217,18.808441438191437,63.56595117845118
1992,1.450736111111111,22.082616031033044,19.576719095719096,66.28022486772487
1993,NA,20.91566063337534,18.08943427078429,47.067402613477796
1994,NA,21.33157925514475,16.95170340518484,57.55714836734037
1995,NA,20.811734499371596,18.115907384661075,35.37934342367941
1996,1.4786666666666666,20.939208576151284,17.447908306120176,48.58560964824145
1997,NA,21.323147239516803,18.610692710856874,59.225039612653234
1998,NA,20.644349193834486,17.643102492964537,28.55236264317824
1999,3.406888888888889,19.63913573482836,18.08911194365746,40.688457025432676
2000,2.2573333333333334,20.37764085345596,17.53202133226358,42.217184100112654
2001,1.9355555555555555,20.96382788192067,18.33853698265791,52.59248332574733
2002,1.7712962962962964,21.248424545847527,17.78882009956804,51.26566935230976
2003,2.314861111111111,21.26013587349613,18.294781106937425,49.945174693073035
2004,1.3548148148148147,21.099113433826133,17.792112960671183,64.58373815582763
2005,1.8711666666666666,20.800531057033496,17.971268747376413,56.22568351817779
2006,2.0444444444444443,21.501550756665228,17.342167142209412,55.63097328653426
2007,1.6325,21.023256952647507,17.7706730842706,65.5243021858743
2008,1.638611111111111,20.925071428571428,17.675499338624338,66.66071428571428
2009,1.7174074074074075,20.42511507176306,17.913079777365493,67.69900685797589
2010,NA,19.74910331221913,18.436609498562454,79.7774168010809
