Year,Chlorophyll_Fall,Temperature_Summer,Temperature_Fall,Secchi_Fall
2010,NA,19.74910331221913,18.436609498562454,79.7774168010809
2011,3.367824074074074,20.100416601916603,17.656784560438183,48.75741539436856
2012,2.778703703703704,20.83973956557062,18.54259508558006,70.96365736182351
2013,1.924074074074074,21.072196577516774,17.83181313552059,66.28656740827809
2014,3.3890000000000002,22.100183217638573,20.04851884920635,94.67479395604396
2015,1.9890277777777776,22.890970864320863,19.808436126373625,82.42811355311355
2016,1.8497222222222223,21.235019087933566,18.415142392759673,86.45097011306366
2017,2.3171666666666666,21.29324640005475,18.477236055488888,51.69797298123196
2018,1.6759259259259258,21.010760212688798,18.250308744432257,86.74468937022812
2019,2.6755,21.57149848515988,17.88229671351203,49.49423858967783
2020,NA,NA,NA,NA
